,The Baby Rose,0,nbal nswg nswg nswg | crl3 pdo4 | pbal pswg pswg pswg | fchn lstr lstr lstr lstr,0,http://dancevideos.childgrove.org/contra/contra-modern/238-the-baby-rose
,Working Stiff,1,nbal nswg nswg nswg | crl3 pswg | fchn madf | rlth rlth,0,http://dancevideos.childgrove.org/contra/contra-modern/180-working-stiff
,First Star,2,nbal nswg nswg nswg | crl4 crr4 | fchn fchn | lstr lstr lstr lstr rstr rstr rstr rstr,0,http://www.childgrove.org/index.php/about-dances/dance-writers/ted-steele-dances
,Hay in the Barn,1,nbal nswg nswg nswg | fchn hhey | pbal pswg pswg pswg | fchn hhey,0,http://dancevideos.childgrove.org/contra/contra-modern/142-hay-in-the-barn
,E6,0,nbal nswg nswg nswg | hhey fchn | hhey pswg pswg | crl3 cbal arch,0,http://dancevideos.childgrove.org/contra/contra-modern/225-e6
,Lavender and Lilac,0,nbal nswg nswg nswg | lal6 pswg pswg | llfb fchn | cbal petr cbal petr,0,http://dancevideos.childgrove.org/contra/contra-modern/168-lavender-and-lilac
,Fire and Brimstone,0,nbal nswg nswg nswg | llfb far6 | pbal pswg pswg pswg | crl3 cbal lrns,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Get Me Going,0,nbal nswg nswg nswg | llfb fdo6 | pbal pswg pswg pswg | fchn lstr lstr lstr lstr,0,http://dancevideos.childgrove.org/contra/contra-modern/191-get-me-going
,Captain Kirk's Halibut,1,nbal nswg nswg nswg | lstr lstr lstr lstr fal6 | pmrm pswg pswg | llfb fchn,0,http://dancevideos.childgrove.org/contra/contra-modern/265-captain-kirks-halibut-by-john-coffman-duple-improper
,Judy's Joy,3,nbal nswg nswg nswg | prom far6 | pmrm pswg pswg | llfb lal6,0,http://dancevideos.childgrove.org/contra/contra-modern/456-judy-s-joy-by-john-coffman-duple-improper
,Alternating Current,2,nbal nswg nswg nswg | rlth lrns frns | far6 pswg pswg | cbal petr cbal pcal,0,http://dancevideos.childgrove.org/contra/contra-modern/319-alternating-current-by-john-coffman-duple-improper
,Sweet Potato Pie,1,nbal petr hhey | nbal nswg nswg nswg | lal6 pswg pswg | llfb far6,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Double Dip,0,ndo4 nswg nswg | fchn fchn | crl3 pswg pswg | crl3 cbal pass,0,http://dancevideos.childgrove.org/contra/contra-modern/335-double-dip-by-ted-steele-duple-improper
,Another Flirty Attempt,1,nmrm nswg nswg | crl3 pswg pswg | llfb fchn | hhey hhey,0,http://dancevideos.childgrove.org/contra/contra-modern/166-another-flirty-attempt
,Hemp Hill Robins,3,nmrm nswg nswg | llfb crl3 | pmrm pswg pswg | fchn madf,0,https://sites.google.com/site/capecontradance/home/contra-dances-by-john-coffman#n
,Chama River Reel,0,nmrm nswg nswg | llfb lal6 | pbal pswg pswg pswg | prom crl3,0,http://dancevideos.childgrove.org/contra/contra-modern/290-chama-river-reel-by-merri-rudd-duple-improper
